branch_id,mape,rmse_mln,outliers_removed
1,11.288535399848962,170.91736214591248,0
2,11.995395199656796,92.34697728762661,0
3,9.700607688540961,83.74777877471587,0
4,9.521405167401044,104.77008472162737,1
5,10.146585084922851,38.07797743426079,1
6,9.396473899562041,47.642431997994755,0
7,9.946992790470265,142.65516041435933,2
8,9.258584809327434,39.9388388970162,1
9,11.89877661057815,77.61009730082525,0
10,11.960857607664057,52.6023269689909,3
11,9.279700857399021,95.38902467023377,2
12,11.040769669716068,95.46996014363967,0
13,8.920126877042733,63.63651705577477,0
14,9.91610831594162,41.09275687360189,2
15,10.344638516476875,79.37820564785042,0
16,13.621855904355208,52.93309114116965,1
17,12.165899447343897,48.518598969869096,1
18,10.414582526170815,61.24968230775486,0
19,13.011716290325165,38.67892630721076,1
20,12.346345913388559,41.00196770208298,2
